,uuid: 0,class
55,e515173f-d561-42e1-89bd-c7216f2ff6cf,Farm
56,e55a13d8-435a-4918-be17-7723e06f56a9,Other
57,e5763628-9f04-484f-8a32-ef70dd38bc7a,Farm
58,e5811c63-944c-400c-a7a8-d3b2300175e9,Field
59,e5a78a1c-f1bb-479e-a112-942376aea93f,Field
60,e5a8f27c-d917-44d3-85dd-897b3a0db007,Field
61,e5ad9cf0-a8cb-4500-8136-3a5dd45798e6,Farm
62,e5c0445e-0d72-4a47-aa6a-1c49fece99f9,Field
63,e5cd2bac-24e2-45e0-8d1a-c3470a5bc52e,Farm
64,e5e4c412-5ead-4972-b7fe-e4a4b047850e,Farm
65,e5eaae49-0333-4a0e-a7de-905741080afb,Field
66,e60404aa-46e4-4422-980d-8ebbd8191431,Farm
67,e6058f21-6334-4bf9-afee-b5b95baf925d,Field
68,e612f12f-2b68-42a5-89b8-a9715d2cd4a5,Farm
69,e64ea05f-786c-4ee2-8145-6a22205c80c5,Field
70,e6633379-d69a-4a62-bfbd-0fb975fa9c70,Field
71,e669ad83-284e-4a3a-a4da-1eb7ef11860f,Farm
72,e6766b8a-adfd-4e48-a887-963f00a23e1c,Field
73,e68b5000-cc21-4973-a8a1-a49c42984590,Field
74,e6dd94db-18b3-45be-a975-eb238a11fe98,Field
75,e6e69027-8fea-47ef-b727-e4c48e84bb7e,Tree
76,e6f4a5d3-fcd8-4bd1-86ec-62d65924ad5c,Farm
77,e73259e5-def0-49ae-a00e-b73cab7d9292,Tree
78,e741b8c2-30e2-4fb3-a9c5-d2343553fe93,Tree
79,e7622fb0-d101-4a04-a0a4-1b28f05cb7d8,Farm
80,e7663fd7-37e9-4248-a3ba-146c67d37da6,Farm
81,e771169e-e333-4731-a3be-5a1816241434,Field
82,e77f45da-ec23-4f4d-839c-542ec9920979,Field
83,e7b35d93-8e86-4c40-b1e9-200c860f28ae,Farm
84,e7df6f22-cd5d-4d00-bec9-5dfb807bd49a,Field
85,e7ec344b-1726-4c0a-b37f-02df22ab864c,Field
86,e7fa0e7d-fb50-44e7-852f-8b87bed35ba0,Other
87,e8318bc6-37ea-4668-b70b-3dea274078bf,Tree
88,e83f7a6a-b736-44bd-9e5d-3c9b5376d05c,Farm
89,e86560f5-541c-4cc2-9018-365c6f508141,Farm
90,e89415f5-06ef-497d-9e30-9e4ae6ca9ccc,Field
91,e8a7fab8-8b67-4a09-b6a4-9335c7656ad4,Field
92,e8ab0c60-90d4-4650-ab1d-13927a620d84,Other
93,e8c7c343-90d7-48d2-835c-0509551db11b,Field
94,e9041776-601e-4b28-94e2-5bd913b3c52a,Farm
95,e9089312-c5db-4513-bd64-9034d868d419,Other
96,e94739bb-2662-4499-a41d-6f7ac796962e,Farm
97,e954c405-31a5-470e-b020-86b5cd9d8c60,Field
98,e95b10e5-9eed-4f6f-9401-e309bbc556b7,Field
99,e99fe442-2a38-4e7e-b97e-ef6c0f913020,Field
100,e9a77ddf-a25a-4125-b208-9b4f5a7e5d7e,Farm
101,e9ab1e2d-11fc-40bb-bf58-caf5b88ec151,Tree
102,e9f3ac55-66b9-462a-892a-10f17ca191ea,Tree
103,ea2cffb1-49ec-496b-9552-e7c97c38440b,Farm
104,ea6a45ad-eb53-4e86-aab8-7da4e7a7e8dd,Tree
105,ea76d90d-2622-4850-ab7d-71f6bac8060d,Farm
106,ea807c46-08d1-4f25-9719-15c49648c04e,Farm
107,eaa1333d-4d25-4889-992f-b96651259976,Field
108,eaa58cf2-9532-46c4-9f45-7b5206689d69,Farm
109,eaac6166-cd34-4fd6-921e-14411c723c1f,Farm
110,eaafdce9-ad29-4515-9f4f-8433f6167125,Farm
111,eae6b367-b108-4939-9e0c-8eaa7a8dc0d4,Farm
112,eb1c48e5-6d60-4c4d-9556-35c74aea0cb2,Field
113,eb49bb10-6b1b-4fbc-a403-e88c3c26cfd7,Field
114,eb4c6bf5-82f4-422f-81e6-31d2fe1f2ff5,Field
115,ebae18df-e552-4f42-a426-980612319215,Farm
116,ebe59d0d-a576-4240-9320-e9cd64493a3c,Field
117,ec2ca751-892a-435c-af13-4486e58b9b1d,Field
118,ec307f33-ba91-426c-9c06-729c88fe6337,Other
119,ec3429a9-8e5f-4030-93c6-e7607311a8da,Other
120,ec42e137-10b3-4e79-8561-90e75745fbb0,Farm
121,ec47f661-b724-4a3b-8364-faf714d0ac82,Farm
122,ec49bd83-2b40-4e67-b23f-0050fe3479cc,Tree
123,ec9538a4-689b-4ddd-aecd-51566661787d,Tree
124,ec9e49b7-1d86-4b3b-947e-b25787903c6e,Field
125,eca70718-4ff2-4fc2-a6d7-8676ff1710ac,Tree
126,ecc2a7dd-1d6f-4b72-a42b-c95b7d645793,Other
127,ecc969bb-0033-4487-ad36-fe013711ea10,Field
128,eccd5af8-24c5-4941-8efb-7eed48e80d13,Farm
129,ece67c32-48b4-4b8b-9448-66a3b822dab9,Field
130,ecf9e2f0-3098-4850-a0f7-6a11e5120e4f,Farm
131,ed030b0c-61cd-4a21-9e38-2016de3826a4,Field
132,ed42c32a-73d0-467f-919b-ece8eb6be4cf,Field
133,ed588bc2-971d-4605-be42-f0cf3e2f511f,Field
134,ed986214-715d-4445-b346-1a174cef844b,Farm
135,edd5fed4-de24-4c12-b8e0-5ed8af40cd76,Field
136,edde070c-ad96-409a-a335-4d93af739e06,Field
137,ede646d6-e440-487d-8f31-1c8e04a211ae,Field
138,edfde33f-4cdc-4653-aebc-1feec2f2ab7a,Other
139,ee405add-c6aa-4f48-b5c4-56dbb4ff964e,Farm
140,ee792158-0228-4b4e-8353-935ec0abff1d,Farm
141,ee9531ee-fe12-45b1-ab94-35053ead8758,Tree
142,ee9ffd1b-bcb4-4bd0-b95f-d413724ebd5e,Field
143,ef191497-c5d0-47b8-a8b7-faa81c23b479,Other
144,ef2b7781-6978-4006-aaa1-a0b0b563f63d,Field
145,ef39a29f-60f1-44ce-b72b-6f30800bb9c6,Field
146,ef4dae18-0b28-46b7-a11d-9344ed0605df,Field
147,ef616553-c706-4995-ac7c-4a1a14ade1e7,Tree
148,ef628986-b283-4476-ade2-928caa5b76c2,Tree
149,ef9a4489-e82a-4260-8a29-a5e1f1c94811,Farm
150,ef9be199-2ed4-42b7-988b-ae98a4ed3ee8,Tree
151,efc67abc-0060-429b-a84d-4e7d3fad765d,Farm
152,efceabfb-4fcc-4b3f-9bec-0ce7d631eb7f,Field
153,f02a21a2-df21-4959-98ea-c6cfeff721bb,Farm
154,f0947ad1-fe49-4ffc-b82b-e63c170d191d,Field
155,f0e19a5a-c9c2-44ae-94ce-fd8023834c03,Field
156,f1122cf6-0a2e-4191-a450-0cbf68672a22,Tree
157,f119f381-7f75-45d9-bcbc-46ee0f420427,Farm
158,f16d5259-cea4-44be-a024-dae4bcfa8e15,Field
159,f18666f8-0a36-4800-940b-c1adb582d9f6,Farm
160,f18775b4-2cf4-4fcb-8feb-5df5b9a4ded6,Field
161,f1933103-d5c4-4686-ae52-00a96465022a,Field
162,f1a5381c-a182-46f1-82c5-f52c95442bbd,Field
163,f1ae3bba-abfa-425e-b35e-01d6a18767fe,Farm
164,f1b5475e-03f2-4dee-a94a-587fd41905c8,Farm
165,f1d45d18-9f2a-4500-b741-48a7fb12b8f0,Farm
166,f2206160-65f3-46fd-8b29-f61df75b682f,Farm
167,f2498d7b-98f1-42aa-acd8-c23e5e5250cf,Tree
168,f2d21e44-ce81-45aa-a1b5-f9da9f785cbc,Field
169,f34b9954-318a-4c31-b27d-b2966a96a0f9,Field
170,f37fb40c-00e7-410b-88a7-820ea61bb9a4,Farm
171,f39f1e87-0cab-43f9-bc6e-8602820b0fdc,Farm
172,f3a6809e-953f-4a29-b743-ac3b922731f5,Field
173,f3a69469-4cca-464c-8c43-701f2ff25b31,Field
174,f3c9c883-1b6a-4eb7-b2f7-6ec87ad4ae1a,Farm
175,f3e8e125-6f4d-41d2-850b-e0f48e94347b,Farm
176,f47d9bde-dac0-445f-994b-3ed279df689a,Farm
177,f4837760-38f4-46cc-88e3-5504c4973e49,Farm
178,f49191ba-70c9-4263-b814-a536b1c61d4b,Farm
179,f4aec3e2-8065-460e-a9e1-fe3478e26c24,Field
180,f4c03de9-688c-4dd1-bf9f-927283da09ca,Field
181,f4f3b25f-9f9a-4e41-9156-fd2ddf7a61ff,Farm
182,f4f582a6-5ff7-4c29-9ff3-2373096fe5fd,Farm
183,f50662ff-2ec7-4704-b0d0-d1d207248721,Other
184,f5155af0-10d1-4d72-970b-46f660981229,Tree
185,f51ce54f-38ca-4b7f-a82f-3330e7c00e0d,Field
186,f51eb54d-5e60-43aa-bfb3-927799832a17,Field
187,f539dace-cba7-4dd6-a24e-532345306bdc,Other
188,f565a88f-08f6-4cbe-8a7a-42b00115338e,Farm
189,f58d2431-429a-49ae-8839-b4a1d74ea390,Field
190,f5cdc973-01c7-4bdc-9aa3-d80c230d1d4c,Farm
191,f5e76446-7503-4bea-a772-dc97f6ba9acc,Field
192,f6103b51-921b-490d-b1bb-5f81fc69ddaa,Other
193,f62b2cfc-f837-4052-811c-c7fb9d0841db,Field
194,f6396d1b-eb8a-4410-aa09-af0b749c6100,Farm
195,f65879bd-4c12-4aed-af7b-3ef29d6b023e,Farm
196,f675da9b-e520-483f-906a-d0d095ca6cff,Field
197,f6a7130d-3d12-4bbd-8480-25c4285f4892,Farm
198,f6aaecb1-a8c1-4829-96a4-6c31bd6a5d59,Field
199,f6ffef87-6ba3-4e35-8565-713adc66733a,Farm
200,f701ec9b-ef1d-458b-9473-4738572ce7d4,Farm
201,f703e6a0-70f2-4b46-817b-6b2562bb5579,Farm
202,f70e3b7e-219b-4ab1-9668-f339a010e4ad,Field
203,f7191633-cada-4bed-a4a3-99a9800382f5,Field
204,f772f0f8-b3b1-4875-a781-b002ace6ca79,Tree
205,f797ba3a-62f7-4b43-82aa-7a98eaa57ec0,Farm
206,f7a3df51-6fe4-4536-956a-0eadac39ae8a,Other
207,f7d232b5-fcbb-4080-88ed-1e5e3bbd7c0d,Other
208,f7e29bc2-96ce-4c24-b486-f58ea3365765,Farm
209,f7e6b148-0881-43ba-9609-ab874559c8c3,Farm
210,f7ee0cb7-fb99-4e36-9377-21517def7076,Farm
211,f827091e-17ce-4301-8e66-8671974b138f,Other
212,f82e088e-e348-4140-aba8-b337730be974,Field
213,f83a8968-28b8-49f5-8025-099f3470bfcd,Farm
214,f83e0b44-2937-4ccb-a1c9-3992c67b01bb,Field
215,f845bfa1-90b7-4cbb-91e8-03900bce61c6,Tree
216,f88b3334-85a7-4e42-9036-45aaa4a0d3a6,Farm
217,f8e3a7c0-aff3-4834-8a88-5b24cf50f67b,Other
218,f8eb7514-5079-4d66-93f5-ef4e796ace50,Farm
219,f8f57ab1-c1bd-436f-a2d1-cb7bdb768a6e,Farm
220,f944716d-f97c-4fd3-8c58-0f159d765468,Field
221,f95a9a0b-518c-4c67-ab8f-89f34caef314,Other
222,f98141ee-44f8-47aa-9cbb-8ac83e45128f,Farm
223,f9c5af90-45f8-4e3c-8a51-89a01424f5d4,Farm
224,f9cf882e-9bc2-4f07-a426-e44e612bbbe8,Other
225,f9e51d4e-0df2-444b-8860-153f51f7575c,Farm
226,fa0575ab-bc75-4fb0-9695-f38894e5950c,Other
227,fa1de9cb-0d26-4efc-9dc0-8ef0c4789927,Farm
228,fa565b28-d37d-409c-917e-5c8fe1d60e2f,Farm
229,fa59c515-1294-40a3-9870-69ef32519c1e,Farm
230,fa8c6838-8be7-40ec-b0ea-35455243812f,Farm
231,fa91171d-c622-44fc-82be-edd1b065ac68,Field
232,fab34a34-dd1f-405c-8173-8040445dbf77,Farm
233,fac9487d-989b-4357-ba27-747fb787c08b,Farm
234,fad6e63a-1968-4fc6-8a94-8a8c7eacce6d,Field
235,faec4f44-c26e-424c-8e25-05ecf44f460e,Tree
236,fb46e579-bdec-4e69-a1cf-ce841b0c58d1,Tree
237,fb5d5a29-9dc9-4d4c-9df7-e6bef25f0922,Farm
238,fb6e81e0-d1ba-4bf3-bf58-1f9d8bfd46ff,Field
239,fb7918c1-3199-4569-9178-07a1603559bf,Farm
240,fb85a413-77de-42f3-9824-06fede7500fb,Tree
241,fc901427-9018-49eb-bbb3-5518b43f9207,Farm
242,fcc9723e-7477-401d-bf4b-dee28fa0de46,Farm
243,fce3d25b-6cf1-47ae-a065-edc15a1122c3,Farm
244,fcedafed-569b-4b5e-af00-21240f911855,Farm
245,fd0f378c-1cf6-483a-ad6c-3fe0c88b39a7,Field
246,fd148cad-4f98-452a-96a8-e4489f35c378,Farm
247,fd481448-9f56-42fd-89b1-fa1f6b9c549c,Farm
248,fd6ea176-a484-4469-bfab-b5fb9bb95282,Farm
249,fd99a2d9-3535-4b33-9cba-3bbda2044aa3,Field
250,fdd8b6a6-dc6e-4b01-b0cb-5c48be69d5ad,Farm
251,fdeafc5c-3ff9-4378-a15e-5266e230922b,Farm
252,fdebb597-4c55-4c19-89a9-b0ea38785417,Farm
253,fe46d0a1-9a2e-4949-95bd-484a76ca5bfa,Farm
254,fe7bc91b-0106-411e-afdc-488e3ca02cfd,Farm
255,fed5dc21-4d96-494c-bf47-8677601678bf,Field
256,feda2148-52ee-4671-ba2f-8fceaaad2804,Field
257,fee35cd0-966d-4fcf-8595-e06aa20c3065,Field
258,fee96ae7-1099-45a7-9cac-67e9b5b52fc5,Farm
259,ff44494e-e569-4e3c-b6e0-67c5d29ca375,Tree
260,ff59ec4f-312f-42f2-8d8d-66a545460878,Field
261,ff6d646b-c283-4015-97dc-16c4af092ddf,Farm
262,ff7a4599-e171-4cf3-9b54-8c544f652b70,Tree
263,ff8b9f2a-e2be-4996-b9da-7e821a8f645d,Field
264,ffd09a1d-9375-4288-9f47-e0fd5c3ecede,Farm
0,08b21ea3-97a1-4d6e-b5c9-fc40276be0cb,Field
1,093504d7-d04e-4ecd-8b40-c564abc46b9c,Farm
2,0948d100-1ead-491a-9630-e1f3253d1725,Field
3,095b6fb9-6351-4050-8104-e526493863fc,Farm
4,0965df42-65ac-4f14-bf1c-4a2d3fa62427,Farm
5,097f860c-d40b-4f70-b43a-5ba6d7b78c31,Field
6,0a1105ce-ee86-48ed-b7e7-e89723eebbdf,Field
7,0a33eb2d-a73e-462a-a900-b3bcb76b1651,Field
8,0a564e77-5eb8-4987-9f1c-50100452bd8b,Field
9,0a980134-6221-4404-a3be-f9b5034a2333,Other
10,0ab1110f-70e0-4b77-b74d-6b95757e5f2e,Farm
11,0af5742f-be6b-4071-96a5-8946bff54a4c,Farm
12,0b31e388-cba4-45c0-9219-430716b3ce5c,Other
13,0c0f84d4-b5d3-4793-a381-e6deb1d216c3,Tree
14,0c6d8ecc-5b09-4973-bbd5-e08d5effa6e7,Other
15,0c9e771c-ecae-4c3d-97a5-14bb77ef58be,Field
16,0c9efc1a-62bc-4734-ac50-29baf9954afe,Field
17,0ca1754b-0f76-43ed-b126-e0468be73de7,Field
18,0ca264ba-4a7b-4363-8b1d-aacae197ff41,Farm
19,0cb2ee7d-36b0-46a5-980b-30620de3067d,Field
20,0ce94eef-eb02-4c63-85b5-95f8594df783,Farm
21,0d280ffd-937a-4f34-bbf8-263dd3fea0bb,Farm
22,0d49c4cb-3d74-4103-a720-330f2c874b68,Farm
23,0d56b2b9-e8b1-482b-8117-0104b8e3c536,Other
24,0d694f90-e1fc-46f0-a125-64898b7c57fc,Other
25,0d736a32-7d6b-4356-a0dc-25909de4f351,Field
26,0d9164e7-e1ac-4e8b-b258-a469c96e2be9,Farm
27,0db0fd41-da61-426d-ba2d-02c0d2a49816,Farm
28,0dc4d001-015c-4948-9f24-b603cb0a03a7,Tree
29,0dcf2e01-38ce-42c8-bb00-7fd9d98782c3,Farm
30,0e3e81cd-bdd8-4ef3-9008-a71bfc6701f1,Farm
31,0e46cdf7-4307-407b-a282-db1aa494242d,Farm
32,0e4b324e-e5fd-4d9a-8c47-aae133837585,Field
33,0e6f5489-b7c6-4fc6-a841-2a36ded57705,Tree
34,0e728e5c-c92b-43a1-98d7-4dbdceb4bc73,Field
35,0e784923-f3ef-4365-ae3b-3c0ddb1e32e1,Tree
36,0e882fd2-ab7b-4945-a14a-c5f132a76e6d,Field
37,0e8f47e8-d9fe-4d3d-a8ad-3f5c689abc51,Field
38,0e982d54-0082-4009-86f3-aa24a154c6f8,Field
39,0e9af8a2-f25c-46ad-8e5e-e5faf483504a,Farm
40,0e9c7213-1976-4d56-bf38-576296c0827b,Tree
41,0ea43813-3b46-44d2-9c15-b0bc3cef8b73,Farm
42,0ea60216-aa34-46f9-9201-9276acc8b7e9,Farm
43,0edd62ae-5f10-4924-80b4-0f7750beb55e,Tree
44,0f0ca69e-3eac-41b6-916f-6dfe58b964eb,Field
45,0f11989a-e876-4f61-9865-142f49427043,Other
46,0f5ebb10-534d-4325-b8c8-00f3cb64f676,Farm
47,0f7708cb-3ae1-454a-b456-26816997844f,Field
48,0f8765ca-b961-40a3-8487-7e18af53b3c0,Field
49,0fae901a-9fdb-47e9-8883-b12d1fc0e035,Tree
50,0fc5e157-a3b9-4985-9c0b-be98e5aa1832,Farm
51,1001118f-1d61-474b-8073-d4e0ca15a084,Tree
52,100f4bb5-d971-4bb1-9407-d27274c63bda,Farm
53,103adc08-664c-4176-97b8-1ad85d25b5fe,Farm
54,1057a27e-5667-48e8-bd5d-1947622a177a,Other
55,105d73e0-2ed2-41ab-b9c0-991fb64911ac,Other
56,1063fa80-ae06-486f-b811-63713c032b5e,Field
57,108a1d16-e456-4425-8951-c3e27793a8bf,Field
58,10b52656-1973-46f9-a56b-c588160c00c1,Tree
59,10d860de-e4bc-4d14-bac2-4d673679e7aa,Tree
60,1105df6a-63cd-4aa0-8876-fffdbdf7ffa5,Farm
61,11189400-af03-4cfa-a6c6-343dbaa31757,Farm
62,1124210a-fcd1-41fa-b651-5cd9d24e71d5,Farm
63,112ec5dd-4803-4f4d-8080-2c8057c4c05e,Tree
64,1156b42f-0db9-482e-ac92-50ca7b5d1b51,Tree
65,1177153d-4955-4e2f-a64a-c372a2ab1fe7,Field
66,120839f9-e892-46bc-80bd-79d0194a1459,Field
67,120e4992-ca6c-4286-801e-81df30c894d9,Field
68,12263060-0a90-439e-893a-59e0046e39d5,Other
69,12263573-172c-4e66-93c5-c6a13a717fda,Other
70,12368ce0-b9b3-4e08-90c2-75868fe88410,Farm
71,127fc6a6-b501-4825-86d4-6537e7c7256b,Field
72,12918590-cb4e-490d-8f58-52d61a31a722,Other
73,12b95cff-8002-474a-a490-659a6b8ce0c9,Farm
74,12e724bd-7d88-4fe9-bc59-fab007ccc22c,Farm
75,12f02d85-06fd-4f5a-a134-91dfaf662648,Field
76,12fec991-3d59-4e21-b28b-44cebd78dfd6,Other
77,1313e7f7-1436-41a9-9b50-734ac0270e9c,Other
78,1326b447-486d-4302-9204-134ed9b25a4e,Tree
79,136d1144-b1b2-4aaf-b279-a98061b32d2f,Tree
80,13887f7f-e38e-4573-bd19-525e43daa55e,Field
81,13bfd397-8e00-411c-99b5-db8339111b3e,Farm
82,13e18b9b-1e55-4b6f-9a98-a322667e755c,Tree
83,14221354-6dcc-4eef-8b7e-f83b9a11c73f,Tree
84,14469f93-0e78-4b53-a52c-182f430328b9,Tree
85,145307d6-e45a-49d2-8636-af8a0dcd5c35,Farm
86,147222b0-7eaf-4297-955e-434853cb4604,Field
87,1483f115-5f59-4e50-8bdd-da77eeec6dde,Field
88,14854de1-86b4-42b5-8a8e-a22bb62b9363,Field
89,14a3dc2d-bbcc-47b5-be28-44de7a579d2d,Field
90,14b89562-417e-46fe-b2c3-2aad6e63b504,Farm
91,14c932a3-e1e1-43a1-b7a6-38920ddbb3c4,Other
92,14cd9235-8540-446f-9bd7-0f8fb712d03a,Farm
93,14d4ecf5-f4b0-45c7-8333-f530d6dddc02,Farm
94,14f7a7e8-f865-4bb6-8bdc-4cb05dfe1f8c,Farm
95,15335665-580b-40de-9291-f01ace96a1ec,Field
96,15b672ff-38b9-4108-beef-b4f212753ff7,Field
97,15b9b07d-4733-440c-b215-f4515f8ba977,Farm
98,15bc57b8-e4ad-480e-98e7-776f8064426c,Farm
99,15c233ca-c7c1-464e-9009-e67dee285082,Farm
100,15f7a7d5-3515-4270-ac60-d8d8e267cce6,Tree
101,162d2562-8b45-4f4e-b2f4-0769b15931d6,Other
102,1672dd1a-b264-470c-baff-351dd7b85307,Tree
103,1677e311-773e-436a-b9ff-23abb4140707,Field
104,167eb39a-fdc5-4186-bb0c-2e85f6268b02,Field
105,16838131-2a6c-4483-a363-16a824026e18,Farm
106,16858bbe-c0dc-455c-9477-e0754cf61972,Farm
107,168cb31d-d716-4823-8040-837293e26c7d,Farm
108,169485e5-ac79-47c0-8980-9306a1ce5216,Field
109,169f042b-d6f2-499d-a321-2401a6ac071e,Field
110,16d42089-c71a-49a4-8f2b-dd90b896df1a,Farm
111,16e8f09b-c3a4-4716-876f-b6b64681339d,Farm
112,175babe1-5751-4cb8-b6b3-b5c15afcb57d,Other
113,17a545c0-4392-4a19-a361-036027c0d186,Farm
114,17d9cd09-3cdb-4744-9454-9b44d6eed1bc,Farm
115,17e9afc1-ee89-4867-bd93-5a423fe2cd26,Field
116,1813356b-9b3e-49a4-a551-76c58e84cf7b,Tree
117,1890792d-2d4d-4d1b-81ab-df31fd3f2d40,Field
118,18917c3f-be65-435a-82af-8d221728e3c6,Tree
119,189d5e11-bda3-49a6-a32f-066a37418e74,Field
120,18bc9e96-7f44-4412-b310-9add74127986,Farm
121,18dbb59e-d239-44e0-93d4-fc78049e27d6,Farm
122,18ecec19-f905-42e3-a23c-359a85fdfb6d,Farm
123,1908d200-7726-49d5-8a50-1e6c29da3ab3,Farm
124,19159035-cc4c-4e78-a491-a6afc883fcfd,Farm
125,19243835-55c8-40de-a95d-7a23c6d2f4c7,Field
126,19384829-dc3b-4ed9-bfd7-c75e5d014c2b,Other
127,19a7cc3a-842e-47ea-9058-68bf50efb6e0,Other
128,19b157ab-2fe2-4d6f-9517-05b5c010ba8a,Other
129,19c418c7-7d95-4de3-aed2-e6a844fdd915,Field
130,19d1487d-1576-4f9c-8a34-5b1400cd60f1,Field
131,19db8e70-e23c-471b-a530-156d38dd862c,Farm
132,19e70544-8750-4ae7-81dc-558dddecdd07,Farm
133,19fc0933-98b1-4304-b650-95b0d0e4b838,Farm
134,1a123eeb-858a-4ae4-8b62-22ebebc8c8d6,Other
135,1a1cc85a-25db-4afa-b098-9018b80af83a,Field
136,1a5c8235-e86c-409c-99e2-a3676d6eb5c6,Other
137,1a785ffd-fd5e-440d-8b29-e3c5e8a75f7d,Field
138,1aad5ecc-3f18-4aef-b062-4cf6dba9c152,Field
139,1aaded1e-8656-4284-aa54-e8dc43d1a7ee,Farm
140,1afcfb97-39ff-4360-be9b-9575658f0e42,Farm
141,1b09c587-5a8f-480c-81f9-e391e779d235,Field
142,1b61847b-c3fe-4d9c-9449-59e318ac0b9e,Tree
143,1b896220-f2a3-4e65-8a03-0ae594e2d709,Other
144,1b9ef0b7-c2b3-4483-b9df-f5b55d63998b,Field
145,1bc3ee05-7514-41d1-9de3-13baed47d212,Tree
146,1bda8f16-8621-4eef-9196-b00f97678d4b,Farm
147,1bfbdcd5-951c-483c-bfc7-c3ece1a9b43c,Field
148,1c1fc10e-b179-4914-b27b-4e50566e4234,Field
149,1c586770-9303-48f3-90f3-f42742c54ba2,Farm
150,1c84c791-d675-4fb5-b3dc-c3ff89a1b67b,Farm
151,1c8e761d-745f-4478-8a63-543fb086f4ec,Farm
152,1c8f6edb-276f-4ce4-9777-65f15ada432b,Farm
153,1cbb1b8b-49b9-46fe-9dc8-ff94b3a03522,Field
154,1cbf3f4a-6b54-4935-946d-b6255544206d,Field
155,1cfae8cf-c4c2-43a0-ba12-fe15e60cc14e,Farm
156,1d2e4264-aecf-405f-9653-81efe9c6827b,Field
157,1d5f0b79-a4e8-4565-8ce2-191908f3ef36,Field
158,1d72e700-a474-48ca-a5b9-8d88988bcf17,Farm
159,1dbbb3d8-6708-495d-81a4-25fa428a24e2,Field
160,1dfb0506-7504-4472-8122-2ee3a3888c8d,Farm
161,1e031624-72ff-420e-b014-2a9f34fe4208,Farm
